donation_id,donor_id,donation_date,amount,fund,payment_method,recurring
D617170,U622,2023-01-01,95.85,Benevolence,Check,TRUE
D738129,U732,2023-01-01,225.68,Benevolence,Online,TRUE
D733067,U491,2023-01-01,63.94,General,Online,FALSE
D217065,U401,2023-01-01,56.34,Building,Cash,TRUE
D456478,U696,2023-01-01,838.92,General,Online,FALSE
D847731,U976,2023-01-01,93.45,General,Online,TRUE
D964016,U805,2023-01-01,143.51,General,Online,TRUE
D967117,U718,2023-01-01,175.82,Missions,Online,TRUE
D432706,U688,2023-01-01,89.77,General,Online,TRUE
D606733,U529,2023-01-01,163.63,General,Online,TRUE
D263677,U809,2023-01-01,149.74,Missions,Check,FALSE
D125558,U860,2023-01-01,105.45,General,Online,FALSE
D769574,U811,2023-01-01,124.79,Building,Check,TRUE
D900718,U527,2023-01-01,117.57,General,Online,FALSE
D516409,U771,2023-01-01,430.33,General,Check,TRUE
D452237,U349,2023-01-01,76.91,General,Online,FALSE
D507706,U903,2023-01-01,62.17,General,Check,FALSE
D707236,U528,2023-01-01,122.75,Benevolence,Check,TRUE
D439727,U497,2023-01-01,144.57,General,Online,FALSE
D607679,U627,2023-01-01,155.93,General,Online,TRUE
D402646,U480,2023-01-01,91.15,General,Online,FALSE
D790083,U644,2023-01-01,63.4,General,Online,TRUE
D859021,U139,2023-01-01,256.06,Missions,Check,FALSE
D761366,U345,2023-01-08,118.18,Missions,Online,FALSE
D445823,U539,2023-01-08,249.2,General,Online,FALSE
D884082,U789,2023-01-08,73,Missions,Check,TRUE
D811351,U350,2023-01-08,77.99,Building,Check,FALSE
D965398,U659,2023-01-08,116.84,Missions,Online,TRUE
D354807,U742,2023-01-08,63.46,General,Cash,TRUE
D859362,U644,2023-01-08,105.06,Building,Online,FALSE
D986695,U261,2023-01-08,152.06,Missions,Online,TRUE
D428739,U421,2023-01-08,204.62,General,Online,FALSE
D554121,U675,2023-01-08,202.09,Missions,Online,FALSE
D601597,U267,2023-01-08,80.18,Building,Online,TRUE
D747832,U541,2023-01-08,104.25,General,Online,FALSE
D487058,U887,2023-01-08,202.59,General,Online,TRUE
D324360,U177,2023-01-08,207.58,General,Online,TRUE
D670755,U764,2023-01-08,152.3,General,Online,TRUE
D459796,U592,2023-01-08,113.22,General,Online,TRUE
D153271,U298,2023-01-08,34.45,Missions,Online,TRUE
D517326,U523,2023-01-08,273.65,Missions,Cash,TRUE
D830814,U544,2023-01-08,127.94,General,Online,TRUE
D405837,U194,2023-01-08,118.11,Building,Online,TRUE
D465870,U563,2023-01-08,104.3,Missions,Cash,FALSE
D238951,U478,2023-01-08,84.67,General,Online,FALSE
D384262,U441,2023-01-08,81.46,General,Online,FALSE
D298703,U320,2023-01-08,97.69,General,Online,TRUE
D865885,U795,2023-01-08,43.93,Missions,Online,TRUE
D807882,U260,2023-01-08,366.58,Building,Online,TRUE
D284989,U719,2023-01-08,116.06,General,Online,FALSE
D910953,U547,2023-01-08,155.64,Building,Online,FALSE
D499548,U341,2023-01-08,162.99,General,Online,TRUE
D230616,U792,2023-01-08,245.93,Missions,Cash,FALSE
D346078,U913,2023-01-08,62.62,General,Online,TRUE
D954861,U635,2023-01-08,60.37,Missions,Online,FALSE
D484401,U927,2023-01-08,131.71,Building,Online,TRUE
D190231,U506,2023-01-08,89.31,Building,Check,TRUE
D582634,U328,2023-01-08,496.56,General,Online,FALSE
D417880,U323,2023-01-08,50.77,General,Check,TRUE
D513170,U884,2023-01-08,45.63,General,Online,TRUE
D548583,U573,2023-01-08,174.58,Building,Check,TRUE
D803177,U798,2023-01-08,187.65,General,Online,TRUE
D376560,U540,2023-01-08,170.49,General,Online,FALSE
D542501,U270,2023-01-08,133.82,Benevolence,Online,TRUE
D586131,U122,2023-01-08,153,General,Cash,TRUE
D480031,U317,2023-01-08,55.09,General,Online,FALSE
D236667,U583,2023-01-08,175.34,General,Online,TRUE
D160100,U400,2023-01-08,59.28,General,Online,TRUE
D792526,U747,2023-01-08,81.99,Building,Online,FALSE
D352801,U178,2023-01-08,29.15,General,Check,FALSE
D955663,U610,2023-01-08,61.06,General,Cash,TRUE
D546066,U606,2023-01-08,172.2,Building,Online,TRUE
D736530,U263,2023-01-08,168.77,Missions,Cash,TRUE
D760272,U336,2023-01-08,108.95,Missions,Check,TRUE
D503516,U678,2023-01-08,59.33,General,Online,TRUE
D439051,U906,2023-01-08,249.71,General,Online,TRUE
D330772,U521,2023-01-08,42.65,General,Online,FALSE
D511762,U592,2023-01-08,114.46,Missions,Online,FALSE
D204023,U829,2023-01-08,83.2,Building,Online,FALSE
D309845,U895,2023-01-08,58.26,General,Online,FALSE
D915801,U308,2023-01-08,129.01,Missions,Online,FALSE
D540058,U698,2023-01-08,67.66,General,Online,TRUE
D813461,U792,2023-01-08,125.05,Benevolence,Online,FALSE
D867805,U262,2023-01-15,84.48,General,Check,FALSE
D779602,U584,2023-01-15,42.59,General,Cash,FALSE
D474417,U568,2023-01-15,172.42,Building,Online,TRUE
D698728,U546,2023-01-15,121.95,General,Online,TRUE
D267900,U284,2023-01-15,19.28,General,Online,TRUE
D483314,U755,2023-01-15,233.23,Missions,Check,FALSE
D611212,U919,2023-01-15,79.24,General,Online,TRUE
D141217,U573,2023-01-15,134.95,Building,Online,FALSE
D822858,U454,2023-01-15,143,General,Check,TRUE
D909725,U134,2023-01-15,63.84,General,Online,TRUE
D389246,U637,2023-01-15,48.51,General,Check,FALSE
D314426,U880,2023-01-15,301,General,Online,TRUE
D495138,U135,2023-01-15,380.58,General,Online,FALSE
D498393,U786,2023-01-15,171.84,General,Cash,FALSE
D501697,U602,2023-01-15,132.62,General,Online,FALSE
D206466,U508,2023-01-15,130.3,General,Online,FALSE
D571853,U127,2023-01-15,144.85,General,Online,TRUE
D671982,U768,2023-01-15,101.83,General,Cash,FALSE
D148774,U911,2023-01-15,225.1,Missions,Cash,FALSE
D986663,U409,2023-01-15,181.96,Missions,Online,FALSE
D161448,U252,2023-01-15,83.97,Building,Check,TRUE
D274360,U384,2023-01-15,129.26,General,Online,FALSE
D219690,U247,2023-01-15,122.73,Benevolence,Check,TRUE
D322247,U192,2023-01-15,124.84,General,Check,FALSE
D312618,U368,2023-01-15,222.41,Missions,Online,FALSE
D882353,U816,2023-01-15,88.11,General,Online,TRUE
D464941,U774,2023-01-15,174.42,General,Online,TRUE
D243707,U471,2023-01-15,133.2,Building,Check,FALSE
D513762,U616,2023-01-15,117.52,General,Check,FALSE
D955771,U155,2023-01-15,216.15,Building,Online,TRUE
D923678,U176,2023-01-15,130.41,General,Online,FALSE
D530230,U570,2023-01-15,62.16,General,Online,FALSE
D530423,U447,2023-01-15,55.55,Building,Online,TRUE
D608064,U783,2023-01-15,97.71,General,Online,FALSE
D381019,U683,2023-01-15,78.07,General,Check,TRUE
D903448,U225,2023-01-15,57.05,Benevolence,Check,FALSE
D126565,U521,2023-01-15,80.83,Missions,Online,FALSE
D686793,U251,2023-01-15,40.11,General,Online,TRUE
D716407,U819,2023-01-15,93.35,General,Online,TRUE
D862079,U174,2023-01-15,96.33,General,Online,FALSE
D567855,U698,2023-01-15,100.59,Building,Online,FALSE
D532479,U705,2023-01-15,118.35,Missions,Check,FALSE
D553440,U579,2023-01-15,149.15,General,Check,TRUE
D976345,U403,2023-01-15,90.69,General,Online,TRUE
D680279,U882,2023-01-15,143.54,General,Online,FALSE
D769122,U932,2023-01-15,67.75,General,Check,TRUE
D572341,U793,2023-01-15,179.11,General,Online,FALSE
D115827,U877,2023-01-15,126.45,General,Check,FALSE
D235821,U185,2023-01-15,112.39,General,Check,TRUE
D380950,U141,2023-01-15,79.92,General,Online,TRUE
D585085,U199,2023-01-15,332.55,Missions,Cash,TRUE
D618803,U124,2023-01-15,151.26,General,Check,TRUE
D594665,U705,2023-01-15,139.15,Building,Check,TRUE
D453713,U279,2023-01-15,25.41,General,Online,TRUE
D141608,U392,2023-01-15,36.95,Building,Online,TRUE
D128359,U255,2023-01-22,62.04,General,Online,TRUE
D231985,U882,2023-01-22,206.36,General,Check,TRUE
D717245,U671,2023-01-22,292.29,General,Online,TRUE
D245476,U814,2023-01-22,386.81,Building,Check,TRUE
D931964,U320,2023-01-22,193.65,General,Online,TRUE
D979115,U116,2023-01-22,362.65,General,Online,FALSE
D575136,U544,2023-01-22,253.5,Building,Online,TRUE
D983185,U652,2023-01-22,110.87,General,Check,TRUE
D347302,U636,2023-01-22,159.77,Building,Online,TRUE
D398377,U338,2023-01-22,66.97,General,Check,TRUE
D314783,U431,2023-01-22,107.38,General,Online,FALSE
D586654,U609,2023-01-22,249.65,General,Check,TRUE
D163966,U886,2023-01-22,166.05,General,Check,FALSE
D367942,U151,2023-01-22,157.89,Missions,Online,FALSE
D453611,U810,2023-01-22,64.37,General,Online,FALSE
D907305,U366,2023-01-22,83.49,General,Check,TRUE
D970620,U754,2023-01-22,75.85,General,Online,FALSE
D120473,U300,2023-01-22,152.12,Missions,Online,TRUE
D504158,U605,2023-01-22,66.23,General,Online,TRUE
D224361,U443,2023-01-22,168.13,Benevolence,Online,TRUE
D254577,U438,2023-01-22,61.41,General,Online,FALSE
D456113,U750,2023-01-22,359.46,Missions,Check,TRUE
D263709,U644,2023-01-22,158.2,Benevolence,Online,FALSE
D236554,U716,2023-01-22,78.8,General,Online,TRUE
D303454,U890,2023-01-22,138.67,General,Cash,TRUE
D665412,U347,2023-01-22,97.13,Building,Online,TRUE
D977585,U116,2023-01-22,149.93,General,Online,FALSE
D647136,U749,2023-01-22,138.88,General,Online,FALSE
D551342,U555,2023-01-22,65.3,General,Online,TRUE
D138853,U629,2023-01-22,74.64,General,Online,FALSE
D891392,U201,2023-01-22,143.63,General,Online,FALSE
D439367,U956,2023-01-22,320.83,Building,Online,FALSE
D709083,U170,2023-01-22,230.04,General,Cash,FALSE
D173716,U458,2023-01-22,82.5,General,Online,TRUE
D743601,U495,2023-01-22,196.97,General,Online,TRUE
D365147,U588,2023-01-22,116.55,Missions,Check,FALSE
D239461,U179,2023-01-22,143.78,Missions,Online,FALSE
D917205,U742,2023-01-22,140.29,Missions,Online,FALSE
D803227,U326,2023-01-22,562.71,General,Check,FALSE
D689077,U632,2023-01-22,58.93,General,Online,FALSE
D322382,U849,2023-01-22,127.49,General,Online,TRUE
D974609,U929,2023-01-22,41.24,Missions,Online,TRUE
D508232,U773,2023-01-22,170.95,Missions,Cash,TRUE
D953532,U127,2023-01-22,231.7,General,Online,FALSE
D805467,U519,2023-01-22,285.68,General,Check,FALSE
D352368,U253,2023-01-22,37.8,Missions,Online,FALSE
D833143,U740,2023-01-22,153.72,Building,Online,FALSE
D879442,U189,2023-01-22,312.16,General,Online,TRUE
D657324,U376,2023-01-22,93.6,Missions,Check,TRUE
D863781,U475,2023-01-22,105.66,General,Online,TRUE
D289531,U969,2023-01-22,117.4,Benevolence,Online,FALSE
D837771,U732,2023-01-22,149.38,General,Online,TRUE
D807602,U774,2023-01-22,178.86,General,Online,FALSE
D809694,U705,2023-01-22,264.59,General,Online,TRUE
D358453,U111,2023-01-22,113.32,General,Online,FALSE
D816954,U860,2023-01-22,135,General,Online,TRUE
D222854,U591,2023-01-22,533.94,General,Check,FALSE
D827429,U240,2023-01-22,155.42,Benevolence,Online,FALSE
D540547,U917,2023-01-22,134.39,General,Online,FALSE
D518297,U644,2023-01-22,53.63,General,Check,FALSE
D937827,U251,2023-01-22,120.21,General,Online,TRUE
D626724,U108,2023-01-22,105.08,General,Check,FALSE
D781578,U770,2023-01-22,119.21,General,Online,FALSE
D643058,U451,2023-01-22,84.97,General,Online,FALSE
D743908,U655,2023-01-29,77.98,General,Check,TRUE
D370518,U573,2023-01-29,93.76,General,Online,TRUE
D139664,U967,2023-01-29,421.96,Missions,Online,TRUE
D733457,U928,2023-01-29,230.81,General,Check,TRUE
D199738,U319,2023-01-29,60.36,Building,Online,TRUE
D765407,U602,2023-01-29,34.97,General,Online,TRUE
D409840,U990,2023-01-29,255.27,General,Online,TRUE
D257097,U563,2023-01-29,81.37,General,Online,TRUE
D930911,U276,2023-01-29,89.4,Missions,Online,TRUE
D634365,U271,2023-01-29,39.01,Missions,Online,TRUE
D185883,U421,2023-01-29,341.63,General,Check,FALSE
D162920,U264,2023-01-29,111.84,Building,Online,TRUE
D265297,U374,2023-01-29,44.77,General,Online,TRUE
D665565,U176,2023-01-29,255.98,General,Online,FALSE
D717658,U202,2023-01-29,120.59,General,Online,TRUE
D734453,U193,2023-01-29,67.74,General,Online,FALSE
D963150,U155,2023-01-29,57.58,General,Check,TRUE
D605979,U488,2023-01-29,128.42,Building,Online,TRUE
D310369,U243,2023-01-29,260.24,General,Check,TRUE
D134193,U719,2023-01-29,106.61,General,Check,FALSE
D543226,U201,2023-01-29,78.28,Building,Online,TRUE
D539843,U667,2023-01-29,240.28,General,Online,FALSE
D423146,U125,2023-01-29,227.8,General,Check,TRUE
D811067,U591,2023-01-29,253.94,Benevolence,Online,TRUE
D128538,U272,2023-01-29,144.38,General,Online,FALSE
D700607,U393,2023-01-29,70.9,Benevolence,Online,TRUE
D633334,U621,2023-01-29,156.64,General,Check,FALSE
D406475,U523,2023-01-29,91.48,General,Online,FALSE
D524125,U621,2023-01-29,25.58,Missions,Check,TRUE
D425215,U137,2023-01-29,148.23,General,Check,FALSE
D211655,U830,2023-01-29,207.02,Missions,Online,FALSE
D503213,U918,2023-01-29,154.54,General,Online,FALSE
D708183,U314,2023-01-29,136.89,General,Online,FALSE
D252437,U596,2023-01-29,125.22,General,Online,FALSE
D538858,U921,2023-01-29,163.94,General,Check,TRUE
D910618,U952,2023-01-29,77.15,Building,Online,FALSE
D246311,U421,2023-01-29,51.48,Benevolence,Online,TRUE
D796666,U826,2023-01-29,130.2,General,Online,FALSE
D138744,U547,2023-01-29,74.14,General,Online,FALSE
D823867,U758,2023-01-29,169.32,Missions,Check,FALSE
D476524,U983,2023-01-29,50.2,Building,Online,TRUE
D636498,U944,2023-01-29,315.45,Missions,Online,FALSE
D284862,U132,2023-01-29,280.46,Missions,Check,TRUE
D449004,U905,2023-01-29,65.48,General,Check,FALSE
D626922,U675,2023-01-29,281.16,Building,Cash,FALSE
D687309,U264,2023-01-29,50.24,Building,Check,FALSE
D231643,U298,2023-01-29,97.62,General,Online,TRUE
D998932,U637,2023-01-29,113.79,General,Online,TRUE
D548625,U274,2023-01-29,209.59,Missions,Online,TRUE
D444983,U840,2023-01-29,173.32,Missions,Online,TRUE
D406156,U904,2023-01-29,48.67,General,Online,TRUE
D864786,U131,2023-01-29,78.18,Building,Cash,FALSE
D200237,U498,2023-02-05,67.24,General,Online,TRUE
D216047,U809,2023-02-05,58.99,General,Cash,FALSE
D715802,U160,2023-02-05,189.72,General,Online,TRUE
D386871,U882,2023-02-05,107.37,Building,Check,FALSE
D790050,U581,2023-02-05,114.42,General,Check,TRUE
D221642,U518,2023-02-05,182.88,General,Check,FALSE
D602330,U796,2023-02-05,222.11,Building,Check,TRUE
D656856,U917,2023-02-05,69.73,General,Online,TRUE
D939606,U685,2023-02-05,32.53,Missions,Online,TRUE
D803185,U815,2023-02-05,197.17,Missions,Check,TRUE
D387688,U235,2023-02-05,55.95,General,Online,FALSE
D916354,U235,2023-02-05,125.29,General,Check,FALSE
D925145,U716,2023-02-05,58.98,General,Online,TRUE
D658333,U231,2023-02-05,129.84,Missions,Check,TRUE
D588667,U215,2023-02-05,109.68,Missions,Cash,FALSE
D982897,U882,2023-02-05,280.65,Missions,Check,FALSE
D448263,U948,2023-02-05,113.24,Building,Check,TRUE
D784522,U830,2023-02-05,85.87,General,Online,FALSE
D458651,U773,2023-02-05,99.13,General,Online,TRUE
D690501,U254,2023-02-05,105.13,Missions,Online,FALSE
D302254,U554,2023-02-05,84.75,General,Online,TRUE
D130874,U574,2023-02-05,134.4,General,Check,FALSE
D584664,U624,2023-02-05,97.2,General,Online,TRUE
D435210,U491,2023-02-05,103.62,Missions,Online,TRUE
D429201,U636,2023-02-05,231.45,Building,Online,FALSE
D647981,U792,2023-02-05,48.47,General,Online,TRUE
D869607,U995,2023-02-05,89.09,General,Online,FALSE
D294111,U280,2023-02-05,174.07,General,Online,TRUE
D721586,U217,2023-02-05,399.86,Benevolence,Check,FALSE
D986904,U381,2023-02-05,136.27,General,Online,TRUE
D922213,U564,2023-02-05,29.27,Missions,Online,FALSE
D534329,U495,2023-02-05,266.11,Building,Online,FALSE
D899014,U912,2023-02-05,113.98,Missions,Cash,TRUE
D393560,U499,2023-02-05,113.92,General,Online,FALSE
D808980,U237,2023-02-05,103.25,Building,Check,FALSE
D311465,U872,2023-02-05,152.12,Missions,Online,FALSE
D272914,U530,2023-02-05,252.06,General,Online,FALSE
D536765,U361,2023-02-05,130.82,Missions,Online,FALSE
D410746,U760,2023-02-05,50.29,Building,Online,TRUE
D434972,U180,2023-02-05,141.09,General,Check,TRUE
D921998,U381,2023-02-05,267.92,Benevolence,Online,TRUE
D176845,U456,2023-02-05,315.51,General,Online,FALSE
D329365,U974,2023-02-05,101,General,Check,TRUE
D487337,U450,2023-02-05,211.4,General,Online,FALSE
D382283,U851,2023-02-05,61.15,General,Check,TRUE
D346626,U943,2023-02-05,466.99,Missions,Online,TRUE
D508074,U910,2023-02-05,167.56,Missions,Online,FALSE
D448398,U379,2023-02-05,100.99,General,Cash,TRUE
D209416,U811,2023-02-05,242.99,General,Online,TRUE
D902719,U676,2023-02-05,97.87,Benevolence,Check,FALSE
D758262,U417,2023-02-05,74.83,General,Online,FALSE
D617543,U173,2023-02-05,99.55,Missions,Check,FALSE
D797349,U255,2023-02-05,132.28,General,Online,FALSE
D380476,U151,2023-02-05,205.09,Building,Check,TRUE
D625800,U250,2023-02-05,98.33,Missions,Online,FALSE
D425807,U370,2023-02-05,122.3,Building,Online,FALSE
D886409,U266,2023-02-05,223.11,General,Online,TRUE
D138153,U832,2023-02-05,104.03,General,Check,TRUE
D218114,U922,2023-02-05,172.4,Missions,Online,TRUE
D944734,U697,2023-02-05,164.37,Missions,Online,FALSE
D509036,U988,2023-02-05,81.85,General,Online,TRUE
D451451,U962,2023-02-05,72.34,Building,Online,TRUE
D102020,U630,2023-02-12,43.01,General,Cash,TRUE
D107431,U416,2023-02-12,145.64,General,Online,FALSE
D802514,U231,2023-02-12,102.61,Missions,Online,TRUE
D338187,U381,2023-02-12,99.65,General,Online,TRUE
D808279,U491,2023-02-12,27.66,Building,Check,FALSE
D766633,U727,2023-02-12,50.36,General,Check,TRUE
D234598,U925,2023-02-12,136.72,General,Online,FALSE
D417296,U828,2023-02-12,168.48,Building,Online,FALSE
D426858,U812,2023-02-12,157.16,General,Check,FALSE
D174828,U112,2023-02-12,133.61,General,Online,FALSE
D757532,U216,2023-02-12,94.86,General,Online,TRUE
D676150,U590,2023-02-12,125.86,Building,Check,FALSE
D358755,U800,2023-02-12,121.88,General,Check,TRUE
D259433,U849,2023-02-12,138.45,General,Check,TRUE
D349344,U328,2023-02-12,145.75,General,Online,FALSE
D318194,U130,2023-02-12,132.83,Missions,Cash,FALSE
D549657,U654,2023-02-12,279.32,General,Online,TRUE
D863174,U730,2023-02-12,219.96,General,Cash,TRUE
D499422,U994,2023-02-12,139.87,Building,Online,TRUE
D377929,U616,2023-02-12,178.85,General,Check,FALSE
D773967,U123,2023-02-12,25.38,General,Online,FALSE
D760660,U697,2023-02-12,103.66,General,Online,FALSE
D410363,U324,2023-02-12,61.8,General,Check,FALSE
D730104,U857,2023-02-12,258.77,Building,Online,TRUE
D103492,U965,2023-02-12,121.17,Missions,Online,TRUE
D832755,U286,2023-02-12,80.1,Building,Online,TRUE
D557563,U424,2023-02-12,154.13,General,Online,FALSE
D146696,U702,2023-02-12,356.7,Missions,Online,TRUE
D501529,U416,2023-02-12,85.32,Missions,Cash,TRUE
D509338,U118,2023-02-12,93.84,Building,Online,FALSE
D503944,U879,2023-02-12,88.24,General,Online,FALSE
D341003,U132,2023-02-12,85.13,General,Check,TRUE
D754018,U557,2023-02-12,206.27,Building,Check,TRUE
D686010,U130,2023-02-12,76.61,Building,Online,FALSE
D792582,U903,2023-02-12,114.37,General,Online,FALSE
D122339,U557,2023-02-12,63.71,General,Online,FALSE
D815752,U242,2023-02-12,141.28,Missions,Online,TRUE
D406730,U383,2023-02-12,106.73,General,Cash,TRUE
D114173,U839,2023-02-12,55.55,Building,Online,TRUE
D503812,U829,2023-02-12,81.65,Building,Online,TRUE
D115655,U747,2023-02-12,67.03,General,Online,TRUE
D143971,U441,2023-02-12,55.26,Building,Online,FALSE
D515026,U913,2023-02-12,71.51,General,Online,TRUE
D513531,U222,2023-02-12,32.8,Building,Online,TRUE
D881428,U799,2023-02-12,272.69,General,Online,TRUE
D460543,U171,2023-02-12,89.07,General,Online,TRUE
D482594,U909,2023-02-12,131.8,Missions,Online,TRUE
D509065,U937,2023-02-12,123.09,General,Online,TRUE
D240084,U807,2023-02-12,143.65,Missions,Cash,TRUE
D620685,U855,2023-02-19,105.22,General,Online,TRUE
D759609,U468,2023-02-19,96.29,General,Check,FALSE
D143760,U112,2023-02-19,231.42,General,Online,TRUE
D503780,U930,2023-02-19,136.05,Building,Online,TRUE
D131388,U194,2023-02-19,155.55,Building,Online,FALSE
D610847,U507,2023-02-19,57,General,Check,FALSE
D388303,U425,2023-02-19,294.59,Building,Online,TRUE
D389188,U933,2023-02-19,132.04,General,Online,TRUE
D796048,U769,2023-02-19,71.79,Building,Online,FALSE
D721023,U239,2023-02-19,144.45,General,Online,TRUE
D512170,U957,2023-02-19,202.3,Benevolence,Cash,TRUE
D522371,U349,2023-02-19,52.32,General,Online,FALSE
D491259,U908,2023-02-19,330.81,General,Cash,TRUE
D218544,U739,2023-02-19,109.14,Missions,Online,TRUE
D106984,U332,2023-02-19,235.14,General,Check,TRUE
D254627,U286,2023-02-19,125.32,General,Check,FALSE
D487189,U911,2023-02-19,98.3,Missions,Online,FALSE
D664600,U982,2023-02-19,39.91,General,Cash,TRUE
D771186,U485,2023-02-19,62.02,Building,Online,FALSE
D677449,U201,2023-02-19,117.06,General,Online,TRUE
D895031,U287,2023-02-19,197.2,Benevolence,Online,TRUE
D472091,U782,2023-02-19,38.8,General,Online,TRUE
D947790,U214,2023-02-19,273.9,General,Check,FALSE
D536995,U209,2023-02-19,277.8,General,Cash,TRUE
D596509,U795,2023-02-19,60.43,Missions,Online,TRUE
D706590,U943,2023-02-19,159.31,General,Online,FALSE
D409009,U420,2023-02-19,64.54,Missions,Online,TRUE
D961285,U517,2023-02-19,111.32,General,Online,TRUE
D627509,U789,2023-02-19,209.49,General,Check,FALSE
D918066,U650,2023-02-19,202.05,Building,Check,FALSE
D296017,U255,2023-02-19,72.1,General,Online,FALSE
D435015,U424,2023-02-19,95.16,Benevolence,Online,FALSE
D530430,U512,2023-02-19,66.81,Missions,Online,TRUE
D872643,U793,2023-02-19,147.12,Building,Online,FALSE
D876816,U120,2023-02-19,47.09,General,Online,FALSE
D722311,U808,2023-02-19,24.78,Benevolence,Cash,FALSE
D835881,U623,2023-02-19,289.85,Missions,Online,TRUE
D950250,U135,2023-02-19,469.46,General,Cash,FALSE
D210451,U960,2023-02-19,91.33,Building,Check,TRUE
D822236,U331,2023-02-19,189.46,Benevolence,Online,TRUE
D946901,U508,2023-02-19,119.46,Building,Online,FALSE
D211776,U228,2023-02-19,290.64,General,Check,TRUE
D394034,U765,2023-02-19,167.33,General,Check,TRUE
D456546,U407,2023-02-19,135.6,Building,Online,FALSE
D729226,U178,2023-02-19,40.77,Building,Online,TRUE
D644419,U497,2023-02-19,229.81,General,Online,FALSE
D729742,U557,2023-02-19,97.22,General,Online,FALSE
D242595,U447,2023-02-19,51.7,Missions,Check,TRUE
D465646,U787,2023-02-19,106.32,General,Online,TRUE
D484422,U369,2023-02-19,111.21,General,Online,FALSE
D211063,U160,2023-02-19,226.56,Building,Online,FALSE
D382145,U992,2023-02-26,129.5,General,Online,TRUE
D624547,U642,2023-02-26,116.95,General,Cash,FALSE
D991252,U533,2023-02-26,245.82,Building,Online,FALSE
D832416,U333,2023-02-26,230.67,Missions,Online,TRUE
D117393,U371,2023-02-26,99.5,General,Online,TRUE
D698687,U622,2023-02-26,123.36,Building,Online,TRUE
D850410,U748,2023-02-26,177.53,General,Online,TRUE
D911737,U800,2023-02-26,44.5,General,Online,TRUE
D875131,U812,2023-02-26,99.62,General,Online,FALSE
D800670,U100,2023-02-26,169.43,General,Check,TRUE
D861725,U508,2023-02-26,87.67,General,Online,TRUE
D953690,U277,2023-02-26,115.76,Missions,Online,TRUE
D558180,U163,2023-02-26,118.5,General,Check,TRUE
D790614,U672,2023-02-26,77.73,Missions,Online,TRUE
D369331,U261,2023-02-26,66.08,General,Check,FALSE
D198292,U639,2023-02-26,106.44,Missions,Online,FALSE
D268562,U848,2023-02-26,97.44,General,Check,FALSE
D483728,U744,2023-02-26,197.94,General,Check,FALSE
D812910,U827,2023-02-26,300.49,Missions,Check,FALSE
D231076,U727,2023-02-26,119.14,Building,Online,FALSE
D220247,U870,2023-02-26,152.43,General,Online,FALSE
D953961,U232,2023-02-26,115.04,Missions,Cash,TRUE
D411746,U512,2023-02-26,172.14,General,Online,FALSE
D562708,U811,2023-02-26,136.81,General,Cash,TRUE
D782493,U230,2023-02-26,138.3,Missions,Online,TRUE
D924402,U401,2023-02-26,233.98,General,Online,FALSE
D361331,U417,2023-02-26,66.36,Missions,Check,TRUE
D773374,U369,2023-02-26,286.06,General,Online,TRUE
D164963,U562,2023-02-26,147.96,General,Online,TRUE
D498287,U818,2023-02-26,133.75,Building,Online,FALSE
D646445,U852,2023-02-26,85.74,Missions,Online,TRUE
D771797,U550,2023-02-26,108.76,General,Check,FALSE
D373533,U693,2023-02-26,150.16,General,Online,FALSE
