volunteer_id,ministry,start_date,active,hours_per_month
V1102,Children's Ministry,2023-03-29,FALSE,0
V1103,Worship,2022-05-10,TRUE,17
V1104,Worship,2021-04-24,TRUE,10
V1105,Children's Ministry,2020-06-24,FALSE,0
V1106,Youth,2023-05-22,TRUE,5
V1107,Outreach,2023-06-01,TRUE,11
V1108,Outreach,2022-12-18,FALSE,0
V1109,Youth,2020-10-19,FALSE,0
V1110,Children's Ministry,2021-11-17,FALSE,0
V1111,Youth,2020-04-29,TRUE,3
V1112,Tech,2024-05-17,TRUE,13
V1113,Outreach,2024-06-01,TRUE,12
V1114,Children's Ministry,2024-06-23,TRUE,23
V1115,Worship,2022-05-12,TRUE,14
V1116,Outreach,2024-01-14,TRUE,14
V1117,Youth,2023-07-01,TRUE,11
V1118,Hospitality,2024-03-19,TRUE,15
V1119,Youth,2020-09-13,TRUE,19
V1120,Outreach,2020-07-09,TRUE,22
V1121,Tech,2021-12-02,TRUE,13
V1122,Hospitality,2020-11-23,TRUE,17
V1123,Hospitality,2024-06-30,TRUE,9
V1124,Hospitality,2021-10-11,TRUE,13
V1125,Worship,2021-08-16,TRUE,18
V1126,Hospitality,2023-04-16,TRUE,11
V1127,Worship,2023-01-14,TRUE,15
V1128,Worship,2024-12-07,TRUE,14
V1129,Children's Ministry,2021-02-19,TRUE,15
V1130,Outreach,2024-04-01,TRUE,14
V1131,Tech,2022-02-22,TRUE,11
V1132,Outreach,2021-10-14,TRUE,8
V1133,Tech,2024-03-04,TRUE,12
V1134,Youth,2023-12-21,TRUE,10
V1135,Outreach,2023-11-27,TRUE,16
V1136,Youth,2022-05-27,TRUE,17
V1137,Tech,2024-02-11,TRUE,19
V1138,Youth,2023-11-25,FALSE,0
V1139,Youth,2021-05-19,TRUE,18
V1140,Outreach,2024-01-18,TRUE,8
V1141,Youth,2023-01-31,TRUE,17
V1142,Tech,2021-11-25,TRUE,14
V1143,Tech,2024-07-17,TRUE,3
V1144,Youth,2022-11-02,FALSE,0
V1145,Children's Ministry,2024-02-24,TRUE,7
V1146,Youth,2021-02-04,FALSE,0
V1147,Hospitality,2022-11-21,FALSE,0
V1148,Worship,2023-12-14,TRUE,0
V1149,Youth,2020-07-28,TRUE,11
V1150,Tech,2020-07-30,TRUE,13
